answer,correct,label,,,,,,,
"-_[>+M=.EU99yyQ_sLlJr:N:6,",c ) 36,Wrong,,,,,,,
T`&RQkZ_QzT2.fSueVl(aaLL,b ) 68,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,c ) 52,Wrong,,,,,,,
is is is is is is is is is is ,b ) 34,Wrong,,,,,,,
EjPakex>@ceuG(XqR\,c ) 1,Wrong,,,,,,,
hello hello hello hello hello hello hello hello hello hello ,d ) 28,Wrong,,,,,,,
"a ) 748 , b ) 2670 , c ) 814 , d ) 524 , e ) 2721",d ) 524,Wrong,,,,,,,
tm+G_-n)OGwzZ&/<+_mnl,c ) 33,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,c ) 70,Wrong,,,,,,,
fh68HnO*Dy/N[J)vwt,a ) 59,Wrong,,,,,,,
T`&RQkZ_QzT2.fSueVl(aaLL,b ) 29,Wrong,,,,,,,
"a ) 47 , b ) 1528 , c ) 2687 , d ) 202 , e ) 2484",a ) 47,Wrong,,,,,,,
fish fish fish fish fish fish fish fish fish fish ,a ) 13,Wrong,,,,,,,
"dXdAmUouzl@oM3,n:+q2C''gP(Lax",d ) 37,Wrong,,,,,,,
p/](\.K_LG=[V'as'v,b ) 17,Wrong,,,,,,,
EP\8MLgmqc7PD*ae2ah*y,d ) 8,Wrong,,,,,,,
"0NIo=foi',Dgjy4,\v?`+veDSSQY@5",b ) 34,Wrong,,,,,,,
W1cIB/QA2IZ>=(g>cw:q8v,a ) 21,Wrong,,,,,,,
"a ) 240 , b ) 2892 , c ) 1051 , d ) 341 , e ) 2123",b ) 62,Wrong,,,,,,,
:-hKOpJQhbF\11^,d ) 62,Wrong,,,,,,,
r31LRVIq5)dGJlFMduB,d ) 60,Wrong,,,,,,,
v_f;(yo83X'OYRek.QScs,b ) 50,Wrong,,,,,,,
8E4g``^fMBN*V>Y_cV)Y6qj,c ) 46,Wrong,,,,,,,
hello hello hello hello hello hello hello hello hello hello ,b ) 41,Wrong,,,,,,,
"C-Y)'U6S<CmCUKid5X,tm+G_-n",b ) 1,Wrong,,,,,,,
E_)Ji`N-<=:B*s*,a ) 41,Wrong,,,,,,,
yiZq-feP:f6JbC`IPzfbXvq,d ) 32,Wrong,,,,,,,
"the answer is :
a ) 2500 , b ) 2100 , c ) 3500 , d ) 3600 , e ) 2700",e ) 2700,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,a ) 48,Wrong,,,,,,,
"R?:0NIo=foi',Dg",c ) 56,Wrong,,,,,,,
e8B<OTl:=L\T/Hg3RI8lz&y,d ) 20,Wrong,,,,,,,
sGHt-Bp;n@]3^pf/i9s093Fbz24Cjb,b ) 67,Wrong,,,,,,,
mqc7PD*ae2a,a ) 66,Wrong,,,,,,,
qp5;@2[thN04U/7M^+,b ) 2,Wrong,,,,,,,
h]iEZYsy)pD]Q7nr?mu7Hj+,a ) 56,Wrong,,,,,,,
hello hello hello hello hello hello hello hello hello hello ,a ) 47,Wrong,,,,,,,
*y]sGHt-Bp;n@]3^pf,b ) 44,Wrong,,,,,,,
"Solution : 1 : 9 = 1 : 9 , therefore , the ratio is 1 : 9 .",e ) 1 : 729,Wrong,,,,,,,
"U,QO(^&dj@k(s<7\+SF@So",c ) 56,Wrong,,,,,,,
l5H51'E@eJ\,a ) 20,Wrong,,,,,,,
shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  shaw  ,a ) 8,Wrong,,,,,,,
"-kCge>u<z,V,?5SNsB",b ) 67,Wrong,,,,,,,
UAPwoJM-NWdS,a ) 3,Wrong,,,,,,,
"@u*JWFzrspx`kw=hg,quh<kHE'j6&",a ) 16,Wrong,,,,,,,
hello hello hello hello hello hello hello hello hello hello ,d ) 19,Wrong,,,,,,,
5Ar31LRVIq5)dGJl,d ) 27,Wrong,,,,,,,
@A>Gmx.`ut,d ) 46,Wrong,,,,,,,
"a) 2986, b) 965, c) 2413, d) 1965, e) 1457",a ) 11,Wrong,,,,,,,
xwbc:H]5V4[x7ytj3/T9KT,d ) 17,Wrong,,,,,,,
hook hook hook hook hook hook hook hook hook hook ,a ) 18,Wrong,,,,,,,
"a ) 2379 , b ) 2431 , c ) 1925 , d ) 1396 , e ) 2769",d ) 1396,Wrong,,,,,,,
_r9;^`pAwRlLWv,a ) 12,Wrong,,,,,,,
is is is is is is is is is is ,a ) 2,Wrong,,,,,,,
hello hello hello hello hello hello hello hello hello hello ,b ) 2,Wrong,,,,,,,
opGUiBcAh0[,b ) 30,Wrong,,,,,,,
